Source,Target,Weight,Emiten,Position,Company
JULIUS ASLAN,ADARO ANDALAN INDONESIA TBK.,5,AADI,PRESIDENT DIRECTOR,ADARO ANDALAN INDONESIA TBK.
PRIYADI,ADARO ANDALAN INDONESIA TBK.,5,AADI,DIRECTOR,ADARO ANDALAN INDONESIA TBK.
LIE LUCKMAN,ADARO ANDALAN INDONESIA TBK.,5,AADI,DIRECTOR,ADARO ANDALAN INDONESIA TBK.
SUSANTI,ADARO ANDALAN INDONESIA TBK.,5,AADI,DIRECTOR,ADARO ANDALAN INDONESIA TBK.
DJAP TET FA,ASTRA AGRO LESTARI TBK.,5,AALI,PRESIDENT DIRECTOR,ASTRA AGRO LESTARI TBK.
EKO PRASETYO,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
WIDAYANTO,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
TINGNING SUKOWIGNJO,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
ARIEF CATUR IRAWAN,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
BANDUNG SAHARI,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
VERONICA LUSI HERDIYANTI,ASTRA AGRO LESTARI TBK.,5,AALI,DIRECTOR,ASTRA AGRO LESTARI TBK.
RONNY WILIMAS SUGIADHA,MAHAKA MEDIA TBK.,5,ABBA,PRESIDENT DIRECTOR,MAHAKA MEDIA TBK.
MUHAMMAD FADRI ATTAMIMI,MAHAKA MEDIA TBK.,5,ABBA,DIRECTOR,MAHAKA MEDIA TBK.
JULIEN PIERRE COMBARET,ASURANSI BINA DANA ARTA TBK.,5,ABDA,DIRECTOR,ASURANSI BINA DANA ARTA TBK.
LIANI CHANDRA,ASURANSI BINA DANA ARTA TBK.,5,ABDA,DIRECTOR,ASURANSI BINA DANA ARTA TBK.
IWAN KURNIAWAN,ASURANSI BINA DANA ARTA TBK.,5,ABDA,DIRECTOR,ASURANSI BINA DANA ARTA TBK.
VINCENT CITIZEN SOEGIANTO,ASURANSI BINA DANA ARTA TBK.,5,ABDA,PRESIDENT DIRECTOR,ASURANSI BINA DANA ARTA TBK.
ACHMAD ANANDA DJAJANEGARA,ABM INVESTAMA TBK.,5,ABMM,PRESIDENT DIRECTOR,ABM INVESTAMA TBK.
HARIS MUSTARTO,ABM INVESTAMA TBK.,5,ABMM,DIRECTOR,ABM INVESTAMA TBK.
FERIWAN SINATRA,ABM INVESTAMA TBK.,5,ABMM,DIRECTOR,ABM INVESTAMA TBK.
HANS CHRISTIAN MANOE,ABM INVESTAMA TBK.,5,ABMM,DIRECTOR,ABM INVESTAMA TBK.
